sido,sigungu,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,전월세구분,a1,a2,a3
대구광역시,수성구,157906,2217.2,29401,82071,6905,0,37645,500,160077,2,0.02,0,0,0.01,0.03,월세,79.95448182,4627.204034,96.1069267
대구광역시,달서구,224644,2878.6,39448,111080,7584,0,63666,705,226593,3.4,0.04,0,0,0.01,0.05,월세,72.09952588,2535.044636,70.28507127
대구광역시,달성군,95751,1291.5,18809,48953,3094,0,23217,574,99284,2.7,0.03,0,0,0.02,0.05,월세,66.83881287,3398.30267,42.6146671
인천광역시,중구,55660,621.2,9242,21433,1765,0,20943,1844,59389,2.4,0.02,0.01,0,0.03,0.06,월세,62.3843954,4010.30547,63.56936543
인천광역시,동구,25183,316.7,4903,11719,1206,0,6889,257,25185,6.6,0.07,0.02,0,0.02,0.1,월세,55.74732148,5784.897092,54.73378076
인천광역시,연수구,130428,1918,20668,71174,5699,0,29989,1669,207048,2.7,0.03,0.02,0,0.02,0.07,월세,79.25365331,5825.378471,127.4006332
인천광역시,남동구,203704,2736.3,34033,102233,7892,0,54361,3385,193657,4.1,0.04,0.02,0,0.02,0.08,월세,55.03686455,4080.92782,49.45327605
인천광역시,부평구,194930,2487.5,32313,99196,7993,0,50915,3050,113413,3.4,0.04,0.03,0,0.01,0.08,월세,61.11397656,8632.642484,56.377402
인천광역시,계양구,112858,1553.8,18137,60276,4285,0,27450,1585,200576,2.6,0.03,0.02,0,0.01,0.06,월세,52.82905071,2740.19828,57.16989247
인천광역시,서구,195663,2801.5,32400,106065,8626,0,44180,2648,168650,5,0.06,0.02,0,0.03,0.11,월세,72.97106372,4959.299868,82.78393291
인천광역시,강화군,27048,299.4,8211,8898,1608,0,7712,378,27750,5.4,0.06,0.01,0,0.05,0.12,월세,59.37570741,1932.777778,53.14814815
광주광역시,동구,44954,455.7,8863,16015,1408,0,17590,743,47295,5.2,0.06,0,0,0.03,0.09,월세,67.08642754,8696.453725,49.2234763
광주광역시,서구,122889,1506,21161,56122,3547,0,39811,1077,124031,2.3,0.02,0,0,0.01,0.04,월세,63.5300662,3673.542504,57.00824317
광주광역시,북구,178759,2177.6,31324,81783,5299,0,57003,1577,180972,2.2,0.02,0,0,0.02,0.04,월세,59.73354209,3609.547151,46.45484838
광주광역시,광산구,154385,2193.2,22882,80540,4116,0,43326,1941,159167,2.1,0.02,0,0,0.01,0.03,월세,58.04470048,3280.624924,46.39019964
대전광역시,동구,100718,1078.1,17300,39671,3191,0,38474,1162,102534,8.2,0.1,0,0,0.01,0.12,월세,63.67107568,4066.697653,56.2028169
대전광역시,중구,96106,1169.8,18050,42763,3973,0,29525,991,97505,3.9,0.04,0,0,0.02,0.07,월세,60.31947556,4723.001929,49.3170418
대전광역시,서구,196870,2371.7,32631,88926,5877,0,64879,2847,203082,3.1,0.04,0,0,0.01,0.05,월세,59.55545359,4595.290025,62.3758033
대전광역시,유성구,143172,1759.4,23032,63338,3867,0,49516,2036,153942,6,0.08,0,0,0.02,0.1,월세,55.32719126,6268.823557,48.64664641
대전광역시,대덕구,72177,873.3,13079,32685,2370,0,22642,654,73371,3.7,0.04,0,0,0.01,0.06,월세,66.70500396,3727.16986,55.40485313
울산광역시,중구,86756,1109.2,16869,42263,3174,0,23339,286,86392,2.9,0.03,0,0,0.01,0.04,월세,68.05747741,5451.560976,60.45057766
울산광역시,남구,128579,1564,23577,60514,3514,0,38273,1448,130392,2.8,0.03,0,0,0.01,0.04,월세,64.64906577,4397.396673,65.36212412
울산광역시,북구,76681,1147,14164,43396,2225,0,15677,335,79141,1.7,0.02,0,0,0.01,0.03,월세,61.83027715,3830.21365,44.92225519
경기도,수원시,457351,6152.5,66456,226112,16763,0,136959,6682,465600,3.5,0.04,0.02,0,0.01,0.07,월세,62.02225699,8402.047612,68.20357856
경기도,성남시,361413,4545,58807,172276,14845,0,108016,4025,369007,4.4,0.05,0.06,0.01,0.02,0.06,월세,60.99346261,17508.42336,80.61207908
경기도,의정부시,170040,2249,29455,84740,7876,0,44687,1699,177865,2.8,0.03,0.01,0,0.02,0.06,월세,53.97045625,4305.064572,54.94783789
경기도,안양시,205695,2956.5,34844,110763,9103,0,46872,2280,203083,3.6,0.04,0.04,0,0.02,0.09,월세,56.55377795,10068.33887,79.45257583
경기도,부천시,311910,4146.7,51353,161370,12579,0,80018,3635,315228,4.1,0.04,0.02,0,0.02,0.09,월세,54.11286331,6620.762316,66.18910329
경기도,광명시,115414,1693.9,19733,61899,4814,0,26621,1119,111274,2.5,0.03,0.04,0,0.01,0.07,월세,61.25273144,12067.77813,81.54269753
경기도,평택시,197997,2469.1,32621,90401,7502,0,61383,4475,212746,3.4,0.03,0.01,0,0.02,0.06,월세,52.86273827,3929.561291,52.27613429
경기도,동두천시,37297,448.7,7056,16258,1786,0,11205,715,37854,4.3,0.04,0,0,0.02,0.07,월세,65.0479125,1914.579819,50.1626506
경기도,안산시,253140,3182.5,37768,124134,9059,0,76298,3469,259958,3.3,0.04,0.02,0,0.01,0.08,월세,60.2195063,4663.65204,73.71013597
경기도,고양시,385021,5289.8,66169,199593,17926,0,92783,5295,398128,2.1,0.02,0.02,0,0.02,0.05,월세,62.33706488,8140.262107,63.79951008
경기도,과천시,18901,306.5,3334,10708,1057,0,3463,150,20463,3.6,0.04,0.09,0,0.03,0.16,월세,63.95373724,26153.33841,94.11727842
경기도,구리시,71974,1013,12017,38474,3335,0,16802,744,73130,3.1,0.03,0.03,0.01,0.01,0.08,월세,61.77369666,10045.35924,75.23721881
경기도,남양주시,243802,3694.5,44253,132763,13600,0,48817,2249,252383,2.1,0.02,0,0,0.02,0.05,월세,54.94108716,6474.202069,44.99766664
경기도,오산시,87151,1138.9,12900,41928,3036,0,26659,1848,91768,5,0.05,0,0,0.03,0.09,월세,53.04300759,3838.965578,44.17462312
경기도,시흥시,178734,2425.9,28097,90006,5941,0,49604,3226,192567,3,0.03,0.01,0,0.02,0.06,월세,63.10816167,7305.786829,54.51263128
경기도,군포시,100586,1444.4,17480,53542,3865,0,23729,873,103026,3.4,0.03,0.02,0,0.02,0.07,월세,55.12314033,6348.759771,65.94215737
경기도,의왕시,57061,831.5,10610,30779,2571,0,12068,512,59297,2.5,0.03,0.02,0,0.01,0.05,월세,53.18765401,9762.455185,56.25483304
경기도,하남시,101231,1355.8,18485,49601,4161,0,27076,909,112230,2.2,0.02,0.01,0,0.02,0.05,월세,64.32712914,15544.20543,73.38539164
경기도,용인시,371752,5587.2,66289,198304,17491,0,82126,3743,386075,2,0.02,0.01,0,0.02,0.04,월세,75.87822278,12015.26404,87.68572911
